Timestamp,kwh,Building,Month,File
2024-01-01 00:00:00,4.32,Campus,Jan,campus_a_jan.csv
2024-01-01 01:00:00,3.13,Campus,Jan,campus_a_jan.csv
2024-01-01 02:00:00,4.41,Campus,Jan,campus_a_jan.csv
2024-01-01 03:00:00,2.74,Campus,Jan,campus_a_jan.csv
2024-01-01 04:00:00,4.05,Campus,Jan,campus_a_jan.csv
2024-01-01 05:00:00,4.17,Campus,Jan,campus_a_jan.csv
2024-01-01 06:00:00,4.42,Campus,Jan,campus_a_jan.csv
2024-01-01 07:00:00,4.81,Campus,Jan,campus_a_jan.csv
2024-01-01 08:00:00,20.49,Campus,Jan,campus_a_jan.csv
2024-01-01 09:00:00,18.24,Campus,Jan,campus_a_jan.csv
2024-01-01 10:00:00,17.46,Campus,Jan,campus_a_jan.csv
2024-01-01 11:00:00,17.4,Campus,Jan,campus_a_jan.csv
2024-01-01 12:00:00,20.16,Campus,Jan,campus_a_jan.csv
2024-01-01 13:00:00,20.22,Campus,Jan,campus_a_jan.csv
2024-01-01 14:00:00,20.5,Campus,Jan,campus_a_jan.csv
2024-01-01 15:00:00,18.31,Campus,Jan,campus_a_jan.csv
2024-01-01 16:00:00,18.48,Campus,Jan,campus_a_jan.csv
2024-01-01 17:00:00,19.08,Campus,Jan,campus_a_jan.csv
2024-01-01 18:00:00,19.85,Campus,Jan,campus_a_jan.csv
2024-01-01 19:00:00,3.79,Campus,Jan,campus_a_jan.csv
2024-01-01 20:00:00,4.49,Campus,Jan,campus_a_jan.csv
2024-01-01 21:00:00,3.81,Campus,Jan,campus_a_jan.csv
2024-01-01 22:00:00,3.84,Campus,Jan,campus_a_jan.csv
2024-01-01 23:00:00,5.06,Campus,Jan,campus_a_jan.csv
2024-01-02 00:00:00,4.25,Campus,Jan,campus_a_jan.csv
2024-01-02 01:00:00,4.27,Campus,Jan,campus_a_jan.csv
2024-01-02 02:00:00,3.85,Campus,Jan,campus_a_jan.csv
2024-01-02 03:00:00,3.5,Campus,Jan,campus_a_jan.csv
2024-01-02 04:00:00,3.57,Campus,Jan,campus_a_jan.csv
2024-01-02 05:00:00,4.07,Campus,Jan,campus_a_jan.csv
2024-01-02 06:00:00,3.69,Campus,Jan,campus_a_jan.csv
2024-01-02 07:00:00,4.11,Campus,Jan,campus_a_jan.csv
2024-01-02 08:00:00,22.44,Campus,Jan,campus_a_jan.csv
2024-01-02 09:00:00,20.19,Campus,Jan,campus_a_jan.csv
2024-01-02 10:00:00,19.77,Campus,Jan,campus_a_jan.csv
2024-01-02 11:00:00,20.14,Campus,Jan,campus_a_jan.csv
2024-01-02 12:00:00,17.9,Campus,Jan,campus_a_jan.csv
2024-01-02 13:00:00,20.11,Campus,Jan,campus_a_jan.csv
2024-01-02 14:00:00,19.62,Campus,Jan,campus_a_jan.csv
2024-01-02 15:00:00,20.23,Campus,Jan,campus_a_jan.csv
2024-01-02 16:00:00,17.23,Campus,Jan,campus_a_jan.csv
2024-01-02 17:00:00,21.04,Campus,Jan,campus_a_jan.csv
2024-01-02 18:00:00,17.57,Campus,Jan,campus_a_jan.csv
2024-01-02 19:00:00,3.51,Campus,Jan,campus_a_jan.csv
2024-01-02 20:00:00,4.31,Campus,Jan,campus_a_jan.csv
2024-01-02 21:00:00,4.39,Campus,Jan,campus_a_jan.csv
2024-01-02 22:00:00,4.05,Campus,Jan,campus_a_jan.csv
2024-01-02 23:00:00,4.55,Campus,Jan,campus_a_jan.csv
2024-01-03 00:00:00,4.44,Campus,Jan,campus_a_jan.csv
2024-01-03 01:00:00,3.8,Campus,Jan,campus_a_jan.csv
2024-01-03 02:00:00,4.08,Campus,Jan,campus_a_jan.csv
2024-01-03 03:00:00,4.23,Campus,Jan,campus_a_jan.csv
2024-01-03 04:00:00,3.74,Campus,Jan,campus_a_jan.csv
2024-01-03 05:00:00,4.75,Campus,Jan,campus_a_jan.csv
2024-01-03 06:00:00,3.56,Campus,Jan,campus_a_jan.csv
2024-01-03 07:00:00,4.39,Campus,Jan,campus_a_jan.csv
2024-01-03 08:00:00,18.79,Campus,Jan,campus_a_jan.csv
2024-01-03 09:00:00,19.53,Campus,Jan,campus_a_jan.csv
2024-01-03 10:00:00,19.06,Campus,Jan,campus_a_jan.csv
2024-01-03 11:00:00,16.93,Campus,Jan,campus_a_jan.csv
2024-01-03 12:00:00,14.36,Campus,Jan,campus_a_jan.csv
2024-01-03 13:00:00,19.27,Campus,Jan,campus_a_jan.csv
2024-01-03 14:00:00,20.23,Campus,Jan,campus_a_jan.csv
2024-01-03 15:00:00,20.59,Campus,Jan,campus_a_jan.csv
2024-01-03 16:00:00,21.13,Campus,Jan,campus_a_jan.csv
2024-01-03 17:00:00,16.2,Campus,Jan,campus_a_jan.csv
2024-01-03 18:00:00,17.67,Campus,Jan,campus_a_jan.csv
2024-01-03 19:00:00,4.23,Campus,Jan,campus_a_jan.csv
2024-01-03 20:00:00,3.72,Campus,Jan,campus_a_jan.csv
2024-01-03 21:00:00,4.15,Campus,Jan,campus_a_jan.csv
2024-01-03 22:00:00,3.22,Campus,Jan,campus_a_jan.csv
2024-01-03 23:00:00,4.16,Campus,Jan,campus_a_jan.csv
2024-01-04 00:00:00,3.42,Campus,Jan,campus_a_jan.csv
2024-01-04 01:00:00,4.0,Campus,Jan,campus_a_jan.csv
2024-01-04 02:00:00,3.67,Campus,Jan,campus_a_jan.csv
2024-01-04 03:00:00,4.29,Campus,Jan,campus_a_jan.csv
2024-01-04 04:00:00,4.07,Campus,Jan,campus_a_jan.csv
2024-01-04 05:00:00,3.93,Campus,Jan,campus_a_jan.csv
2024-01-04 06:00:00,4.44,Campus,Jan,campus_a_jan.csv
2024-01-04 07:00:00,3.98,Campus,Jan,campus_a_jan.csv
2024-01-04 08:00:00,18.1,Campus,Jan,campus_a_jan.csv
2024-01-04 09:00:00,22.62,Campus,Jan,campus_a_jan.csv
2024-01-04 10:00:00,16.98,Campus,Jan,campus_a_jan.csv
2024-01-04 11:00:00,19.7,Campus,Jan,campus_a_jan.csv
2024-01-04 12:00:00,16.82,Campus,Jan,campus_a_jan.csv
2024-01-04 13:00:00,22.62,Campus,Jan,campus_a_jan.csv
2024-01-04 14:00:00,20.97,Campus,Jan,campus_a_jan.csv
2024-01-04 15:00:00,20.08,Campus,Jan,campus_a_jan.csv
2024-01-04 16:00:00,17.11,Campus,Jan,campus_a_jan.csv
2024-01-04 17:00:00,19.1,Campus,Jan,campus_a_jan.csv
2024-01-04 18:00:00,14.98,Campus,Jan,campus_a_jan.csv
2024-01-04 19:00:00,3.57,Campus,Jan,campus_a_jan.csv
2024-01-04 20:00:00,3.67,Campus,Jan,campus_a_jan.csv
2024-01-04 21:00:00,4.2,Campus,Jan,campus_a_jan.csv
2024-01-04 22:00:00,4.82,Campus,Jan,campus_a_jan.csv
2024-01-04 23:00:00,3.49,Campus,Jan,campus_a_jan.csv
2024-01-05 00:00:00,5.06,Campus,Jan,campus_a_jan.csv
2024-01-05 01:00:00,4.18,Campus,Jan,campus_a_jan.csv
2024-01-05 02:00:00,4.96,Campus,Jan,campus_a_jan.csv
2024-01-05 03:00:00,3.75,Campus,Jan,campus_a_jan.csv
2024-01-05 04:00:00,4.95,Campus,Jan,campus_a_jan.csv
2024-01-05 05:00:00,3.9,Campus,Jan,campus_a_jan.csv
2024-01-05 06:00:00,5.32,Campus,Jan,campus_a_jan.csv
2024-01-05 07:00:00,4.01,Campus,Jan,campus_a_jan.csv
2024-01-05 08:00:00,16.11,Campus,Jan,campus_a_jan.csv
2024-01-05 09:00:00,19.59,Campus,Jan,campus_a_jan.csv
2024-01-05 10:00:00,19.64,Campus,Jan,campus_a_jan.csv
2024-01-05 11:00:00,14.62,Campus,Jan,campus_a_jan.csv
2024-01-05 12:00:00,15.6,Campus,Jan,campus_a_jan.csv
2024-01-05 13:00:00,16.51,Campus,Jan,campus_a_jan.csv
2024-01-05 14:00:00,20.44,Campus,Jan,campus_a_jan.csv
2024-01-05 15:00:00,17.12,Campus,Jan,campus_a_jan.csv
2024-01-05 16:00:00,20.55,Campus,Jan,campus_a_jan.csv
2024-01-05 17:00:00,18.51,Campus,Jan,campus_a_jan.csv
2024-01-05 18:00:00,22.54,Campus,Jan,campus_a_jan.csv
2024-01-05 19:00:00,4.14,Campus,Jan,campus_a_jan.csv
2024-01-05 20:00:00,4.3,Campus,Jan,campus_a_jan.csv
2024-01-05 21:00:00,3.34,Campus,Jan,campus_a_jan.csv
2024-01-05 22:00:00,3.5,Campus,Jan,campus_a_jan.csv
2024-01-05 23:00:00,4.09,Campus,Jan,campus_a_jan.csv
2024-01-06 00:00:00,4.14,Campus,Jan,campus_a_jan.csv
2024-01-06 01:00:00,4.72,Campus,Jan,campus_a_jan.csv
2024-01-06 02:00:00,4.46,Campus,Jan,campus_a_jan.csv
2024-01-06 03:00:00,4.02,Campus,Jan,campus_a_jan.csv
2024-01-06 04:00:00,4.24,Campus,Jan,campus_a_jan.csv
